AR_id,Numero_notice,ISBN
609,0004163190,9782746731356
610,0003234794,9782746709201
611,0000561184,2842192664
612,0000563615,2913907113
613,0000600388,2921468700
614,0000600382,2921468646
615,0003653997,9782890924116
616,0003653997,9782890924307
617,0003653997,9782890925069
618,0004470845,9782890925731
619,0004314371,9782890925403
620,0004250846,9782890925304
621,0003629250,9782890924048
622,0004040594,9782890924963
623,0006599092,9782897931957
624,0005514378,9782890928336
625,0005811799,9782890928466
626,0005876882,9782890929548
627,0004688697,9782890926189
628,0005796552,9782890929241
629,0006590147,9782897931827
630,0005933483,9782897930134
631,0006585326,9782897931643
632,0006461490,9782897931728
633,0005495157,9782890928374
634,0005798439,9782890929081
635,0004649442,9782890926158
636,0004002724,9782890924840
637,0005999469,9782897930479
638,0005999469,9782897931865
639,0006075407,9782897930394
640,0003665913,9782923694115
641,0003616689,9782923694122
642,0000625314,2980624446
643,0005209230,9782246811022
644,0004087515,9782923382845
645,0003978362,9782923382555
646,0005706637,2980423815
647,0005706637,2980423823
648,0005706637,2980423831
649,0003753302,9782981120601
650,0005706609,9782981120625
651,0004728933,9782981120618
652,0004599763,9781926956534
653,0005454665,9781926956930
654,0006607005,9781772310719
655,0006607005,9781772310955
656,0006607005,9781772311167
657,0005281652,9782764624418
658,0004867363,9782764623763
659,0000617379,2764602006
660,0005642320,9782764625125
661,0004463585,9782764622551
662,0000573435,2764600550
663,0005045877,9782764623848
664,0004145193,9782764621394
665,0002910040,2764603649
666,0002926611,2764603177
667,0005350217,9782764624463
668,0004792315,9782764622261
669,0000624278,9782764602195
670,0005322161,9782764624487
671,0000561245,2764600380
672,0004566680,9782764622889
673,0000561233,2764600267
674,0003555391,9782764606100
675,0004885903,9782764623817
676,0000617325,9782764601983
677,0004245248,9782764621790
678,0003531395,9782764605813
679,0004139398,9782764621547
680,0005066833,9782764624029
681,0005463451,9782764624906
682,0000592999,2764601433
683,0006394353,2764626517
684,0000593004,2764601204
685,0005420180,9782764624500
686,0000593000,2764601441
687,0004643145,9782764623176
688,0000624261,9782764602270
689,0000628903,2764602529
690,0000573450,2764600518
691,0000583180,2764601093
692,0003305743,9782764605561
